TITLE	FittingExample
DATA	TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/06/07
TIME	13:08:04
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	190.0000
NPOINTS	711
FIRSTY	0.08027
MAXY	3.79174
MINY	0.05499
XYDATA
601.0000	0.141
600.0000	0.14193
599.0000	0.14297
598.0000	0.14382
597.0000	0.14473
596.0000	0.14574
595.0000	0.14671
594.0000	0.1475
593.0000	0.14836
592.0000	0.14923
591.0000	0.15007
590.0000	0.15086
589.0000	0.15158
588.0000	0.15231
587.0000	0.15298
586.0000	0.15356
585.0000	0.15406
584.0000	0.15448
583.0000	0.15489
582.0000	0.15521
581.0000	0.15549
580.0000	0.15564
579.0000	0.15573
578.0000	0.15572
577.0000	0.15566
576.0000	0.15547
575.0000	0.15519
574.0000	0.15491
573.0000	0.15446
572.0000	0.15399
571.0000	0.15356
570.0000	0.15299
569.0000	0.15234
568.0000	0.15171
567.0000	0.15095
566.0000	0.1502
565.0000	0.14934
564.0000	0.14854
563.0000	0.14766
562.0000	0.14677
561.0000	0.14584
560.0000	0.1449
559.0000	0.14397
558.0000	0.14298
557.0000	0.14197
556.0000	0.14099
555.0000	0.13999
554.0000	0.139
553.0000	0.13802
552.0000	0.137
551.0000	0.13597
550.0000	0.13498
549.0000	0.13395
548.0000	0.13302
547.0000	0.13214
546.0000	0.13126
545.0000	0.13034
544.0000	0.12942
543.0000	0.12855
542.0000	0.12765
541.0000	0.12683
540.0000	0.1261
539.0000	0.1254
538.0000	0.12472
537.0000	0.12397
536.0000	0.12326
535.0000	0.12263
534.0000	0.12193
533.0000	0.12135
532.0000	0.12075
531.0000	0.12014
530.0000	0.11955
529.0000	0.11899
528.0000	0.11848
527.0000	0.11791
526.0000	0.11735
525.0000	0.11678
524.0000	0.1162
523.0000	0.11559
522.0000	0.11507
521.0000	0.11446
520.0000	0.11385
519.0000	0.11314
518.0000	0.11259
517.0000	0.11198
516.0000	0.11133
515.0000	0.11067
514.0000	0.10998
513.0000	0.10927
512.0000	0.10861
511.0000	0.10792
510.0000	0.10716
509.0000	0.10633
508.0000	0.10553
507.0000	0.10471
506.0000	0.1039
505.0000	0.10302
504.0000	0.10218
503.0000	0.10128
502.0000	0.10035
501.0000	0.09942
500.0000	0.09841
499.0000	0.0975
498.0000	0.09652
497.0000	0.09554
496.0000	0.09458
495.0000	0.0936
494.0000	0.09258
493.0000	0.09156
492.0000	0.09052
491.0000	0.0895
490.0000	0.0885
489.0000	0.08749
488.0000	0.08653
487.0000	0.08548
486.0000	0.08448
485.0000	0.08351
484.0000	0.08255
483.0000	0.08155
482.0000	0.08058
481.0000	0.07963
480.0000	0.07869
479.0000	0.07767
478.0000	0.07674
477.0000	0.07584
476.0000	0.07495
475.0000	0.07401
474.0000	0.07311
473.0000	0.07228
472.0000	0.07142
471.0000	0.07062
470.0000	0.06987
469.0000	0.06899
468.0000	0.06817
467.0000	0.06738
466.0000	0.0666
465.0000	0.06587
464.0000	0.0652
463.0000	0.06449
462.0000	0.06371
461.0000	0.06297
460.0000	0.06232
459.0000	0.06169
458.0000	0.06102
457.0000	0.06037
456.0000	0.05979
455.0000	0.05923
454.0000	0.05871
453.0000	0.05817
452.0000	0.05766
451.0000	0.05717
450.0000	0.05668
449.0000	0.05631
448.0000	0.056
447.0000	0.05566
446.0000	0.05543
445.0000	0.05522
444.0000	0.0551
443.0000	0.05499
442.0000	0.05504
441.0000	0.05511
440.0000	0.05524
439.0000	0.05544
438.0000	0.05567
437.0000	0.05597
436.0000	0.05636
435.0000	0.05685
434.0000	0.05737
433.0000	0.05802
432.0000	0.05866
431.0000	0.05934
430.0000	0.06019
429.0000	0.06105
428.0000	0.06193
427.0000	0.06286
426.0000	0.06375
425.0000	0.06469
424.0000	0.0657
423.0000	0.06679
422.0000	0.06784
421.0000	0.06889
420.0000	0.06977
419.0000	0.07091
418.0000	0.07213
417.0000	0.07319
416.0000	0.07431
415.0000	0.07551
414.0000	0.07662
413.0000	0.0778
412.0000	0.07896
411.0000	0.08021
410.0000	0.08157
409.0000	0.08303
408.0000	0.08453
407.0000	0.08623
406.0000	0.08802
405.0000	0.08994
404.0000	0.09218
403.0000	0.09468
402.0000	0.09758
401.0000	0.10106
400.0000	0.1049
399.0000	0.10912
398.0000	0.1141
397.0000	0.12003
396.0000	0.12684
395.0000	0.13478
394.0000	0.1439
393.0000	0.1544
392.0000	0.16628
391.0000	0.17966
390.0000	0.19457
389.0000	0.21077
388.0000	0.22819
387.0000	0.24658
386.0000	0.26545
385.0000	0.28432
384.0000	0.30241
383.0000	0.31944
382.0000	0.33469
381.0000	0.34795
380.0000	0.35898
379.0000	0.3681
378.0000	0.37581
377.0000	0.38243
376.0000	0.38862
375.0000	0.39484
374.0000	0.40144
373.0000	0.40846
372.0000	0.41619
371.0000	0.42466
370.0000	0.43274
369.0000	0.44265
368.0000	0.45253
367.0000	0.46263
366.0000	0.47289
365.0000	0.48362
364.0000	0.49466
363.0000	0.50605
362.0000	0.51781
361.0000	0.53
360.0000	0.54261
